study index2
Site ID   Ant. Elev. AMSL (m )  Frequency (MHz)  ERPi(dbW) Orient./Pol.  Group  Coordinates
--------  --------------------  ---------------  ----------  ------------  -----  ---------------------------
ABAA0001                 508.9        960.00000       18.00    Use file-vertical      1  N44°26'41.72" W122°54'55.06"
ABAA0002                 508.9        960.00000       18.00    Use file-vertical      1  N44°26'41.72" W122°54'55.06"
ABAA0003                 508.9        960.00000       18.00    Use file-vertical      1  N44°26'41.72" W122°54'55.06"
ABAB0001                 365.0        960.00000       18.00    Use file-vertical      1  N44°29'15.38" W122°47'10.64"
ABAC0001                 484.9        960.00000       18.00    Use file-vertical      1  N44°25'35.68" W122°40'58.05"
ABAC0002                 484.9        960.00000       18.00    Use file-vertical      1  N44°25'35.68" W122°40'58.05"
ABAD0001                 169.8        960.00000       19.40    Use file-vertical      1  N44°39'27.01" W123°11'42.71"
ABAD0002                 169.8        960.00000       18.00    Use file-vertical      1  N44°39'27.01" W123°11'42.71"
ABAF0001                 101.3        960.00000       18.00    Use file-vertical      1  N44°36'46.47" W123°04'58.99"
ABAF0002                 101.3        960.00000       18.00    Use file-vertical      1  N44°36'46.47" W123°04'58.99"
ABAF0003                 101.3        960.00000       18.00    Use file-vertical      1  N44°36'46.47" W123°04'58.99"
ABAG0001                  95.5        960.00000       18.00    Use file-vertical      1  N44°38'03.47" W123°06'00.61"
ABAG0002                  95.5        960.00000       18.00    Use file-vertical      1  N44°38'03.47" W123°06'00.61"
ABAG0003                  95.5        960.00000       18.00    Use file-vertical      1  N44°38'03.47" W123°06'00.61"
ABAH0001                 121.3        960.00000       18.00    Use file-vertical      1  N44°43'09.15" W123°10'27.24"
ABAH0003                 121.3        960.00000       18.00    Use file-vertical      1  N44°43'09.15" W123°10'27.24"
ABAI0001                 102.1        960.00000       15.00   Isotropic-horizontal      1  N44°33'15.07" W123°06'45.06"
ABAJ0001                 124.6        960.00000       18.00    Use file-vertical      1  N44°28'59.62" W123°11'36.62"
ABAJ0002                 124.6        960.00000       18.00    Use file-vertical      1  N44°28'59.62" W123°11'36.62"
ABAK0002                 353.2        960.00000       18.00    Use file-vertical      1  N44°26'06.33" W122°35'11.76"
ABAL0001                 281.8        960.00000       18.00    Use file-vertical      1  N44°28'08.96" W123°01'21.21"
ABAL0002                 281.8        960.00000       18.00    Use file-vertical      1  N44°28'08.96" W123°01'21.21"
ABAL0003                 281.8        960.00000       19.40    Use file-vertical      1  N44°28'08.96" W123°01'21.21"
ABAM0001                 174.7        960.00000       18.00    Use file-vertical      1  N44°47'09.43" W123°10'47.56"
ABAM0002                 174.7        960.00000       18.00    Use file-vertical      1  N44°47'09.43" W123°10'47.56"
ABAN0001                 189.9        960.00000       18.00    Use file-vertical      1  N44°41'33.10" W123°02'35.86"
ABAN0002                 189.9        960.00000       18.00    Use file-vertical      1  N44°41'33.10" W123°02'35.86"
ABAO0001                 140.8        960.00000       15.00   Isotropic-horizontal      1  N44°49'56.29" W122°51'59.43"
ABAP0001                 163.0        960.00000       18.00    Use file-vertical      1  N44°36'53.99" W122°50'01.44"
ABAP0002                 163.0        960.00000       18.00    Use file-vertical      1  N44°36'53.99" W122°50'01.44"
ABAP0003                 163.0        960.00000       18.00    Use file-vertical      1  N44°36'53.99" W122°50'01.44"
ABAQ0001                 377.7        960.00000       18.00    Use file-vertical      1  N44°51'18.01" W123°07'21.82"
ABAR0003                1291.2        960.00000       18.00    Use file-vertical      1  N44°37'52.38" W122°34'57.87"
ABAS0003                 809.4        960.00000       18.00    Use file-vertical      1  N44°36'15.72" W122°35'34.54"
ABAT0002                 359.9        960.00000       19.40    Use file-vertical      1  N44°46'57.18" W122°59'44.81"
ABAU0001                 129.2        960.00000       18.00    Use file-vertical      1  N44°43'29.83" W122°55'33.34"
ABAU0002                 129.2        960.00000       18.00    Use file-vertical      1  N44°43'29.83" W122°55'33.34"
ABAV0001                 136.8        960.00000       18.00    Use file-vertical      1  N44°32'16.05" W122°54'34.64"
ABAV0002                 136.8        960.00000       18.00    Use file-vertical      1  N44°32'16.05" W122°54'34.64"
ABAV0003                 136.8        960.00000       18.00    Use file-vertical      1  N44°32'16.05" W122°54'34.64"
ABAW0001                 230.8        960.00000       19.00    Use file-vertical      1  N44°42'18.63" W122°41'31.62"
ABAW0002                 240.8        960.00000       18.00    Use file-vertical      1  N44°42'18.63" W122°41'31.62"
ABAW0003                 240.8        960.00000       18.00    Use file-vertical      1  N44°42'18.63" W122°41'31.62"
ABAX0003                 827.6        960.00000       19.00    Use file-vertical      1  N44°40'26.90" W122°34'57.76"
ABAY0002                 206.7        960.00000       18.00    Use file-vertical      1  N44°46'58.83" W122°39'20.51"
ABAY0003                 206.7        960.00000       18.00    Use file-vertical      1  N44°46'58.83" W122°39'20.51"
ABAZ0001                 362.5        960.00000       18.00    Use file-vertical      1  N44°50'26.39" W122°43'17.01"
ABBA0001                 332.2        960.00000       18.00    Use file-vertical      1  N44°48'20.71" W122°39'59.97"
ABBB0001                 254.7        960.00000       17.00    Use file-vertical      1  N44°31'34.67" W122°42'13.08"
ABBB0002                 254.7        960.00000       17.00    Use file-vertical      1  N44°31'34.67" W122°42'13.08"
ABBB0003                 254.7        960.00000       17.00    Use file-vertical      1  N44°31'34.67" W122°42'13.08"
ABBC0002                 183.4        960.00000       18.00    Use file-vertical      1  N44°51'42.95" W123°00'10.47"
ABBD0001                 655.7        960.00000       18.00    Use file-vertical      1  N44°50'42.86" W122°38'05.00"
ABBD0002                 655.7        960.00000       18.00    Use file-vertical      1  N44°50'42.86" W122°38'05.00"
ABBD0003                 655.7        960.00000       18.00    Use file-vertical      1  N44°50'42.86" W122°38'05.00"
ABBE0003                 812.1        960.00000       18.00    Use file-vertical      1  N44°50'00.24" W122°34'52.10"
ABBF0002                 807.6        960.00000       18.00    Use file-vertical      1  N44°44'16.13" W122°35'33.07"
ABBG0003                1208.5        960.00000       19.00    Use file-vertical      1  N44°28'58.03" W122°34'59.92"
ABBH0001                 866.1        960.00000       19.00    Use file-vertical      1  N44°32'02.53" W122°37'15.77"
ABBI0002                 516.1        960.00000       20.00    Use file-vertical      1  N44°36'43.55" W122°40'57.00"
ABBI0003                 425.1        960.00000       20.00    Use file-vertical      1  N44°36'43.55" W122°40'57.00"
